YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-03,WEEKDAY,20,TRAIN,EW17,19695,32865
2025-03,WEEKDAY,14,TRAIN,DT21,5939,7358
2025-03,WEEKENDS/HOLIDAY,11,TRAIN,NS25/EW13,23970,50019
2025-03,WEEKDAY,22,TRAIN,CC17/TE9,1731,5004
2025-03,WEEKENDS/HOLIDAY,9,TRAIN,EW32,2406,865
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,DT7,21,145
2025-03,WEEKENDS/HOLIDAY,13,TRAIN,DT34,2680,2080
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,463,2176
2025-03,WEEKENDS/HOLIDAY,17,TRAIN,TE24,2084,2184
2025-03,WEEKDAY,0,TRAIN,EW5,213,2412
2025-03,WEEKDAY,14,TRAIN,DT10,6435,2990
2025-03,WEEKENDS/HOLIDAY,21,TRAIN,CC8,2679,4045
2025-03,WEEKENDS/HOLIDAY,19,TRAIN,CC10/DT26,6999,8028
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,NS7,1233,1747
2025-03,WEEKENDS/HOLIDAY,20,TRAIN,TE23,1172,1552
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,TE13,29,102
2025-03,WEEKDAY,14,TRAIN,NE16/STC,40435,42603
2025-03,WEEKDAY,17,TRAIN,EW30,28064,1975
2025-03,WEEKDAY,18,TRAIN,EW26,56975,98785
2025-03,WEEKDAY,5,TRAIN,EW8/CC9,3001,1374
2025-03,WEEKDAY,18,TRAIN,SW4,4116,8971
2025-03,WEEKDAY,16,TRAIN,CG1/DT35,22137,7157
2025-03,WEEKDAY,0,TRAIN,NE12/CC13,533,3746
2025-03,WEEKENDS/HOLIDAY,17,TRAIN,CG2,18291,15869
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,EW23,266,1300
2025-03,WEEKENDS/HOLIDAY,20,TRAIN,EW20,3772,6353
2025-03,WEEKDAY,13,TRAIN,DT31,6655,6234
2025-03,WEEKDAY,7,TRAIN,SE5,8243,9796
2025-03,WEEKENDS/HOLIDAY,5,TRAIN,CC14,209,32
2025-03,WEEKENDS/HOLIDAY,5,TRAIN,TE19,5,1
2025-03,WEEKENDS/HOLIDAY,20,TRAIN,TE12,1417,1273
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,BP9,1363,1192
2025-03,WEEKDAY,5,TRAIN,TE25,69,2
2025-03,WEEKDAY,8,TRAIN,EW7,44079,23769
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,NE1/CC29,30849,40125
2025-03,WEEKDAY,12,TRAIN,CC27,6700,4798
2025-03,WEEKENDS/HOLIDAY,21,TRAIN,BP12,613,1513
2025-03,WEEKDAY,16,TRAIN,EW24/NS1,82869,61446
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,CC5,1021,511
2025-03,WEEKENDS/HOLIDAY,7,TRAIN,EW24/NS1,15248,21638
2025-03,WEEKDAY,11,TRAIN,DT25,2890,1768
2025-03,WEEKDAY,14,TRAIN,CC24,24176,22859
2025-03,WEEKDAY,0,TRAIN,SW3,20,317
2025-03,WEEKENDS/HOLIDAY,17,TRAIN,DT34,3264,2162
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,SW4,21,246
2025-03,WEEKDAY,21,TRAIN,TE27,1539,6755
2025-03,WEEKENDS/HOLIDAY,17,TRAIN,NS25/EW13,62475,42550
2025-03,WEEKDAY,13,TRAIN,DT13,15097,12671
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,TE3,5669,4107
2025-03,WEEKDAY,18,TRAIN,NE1/CC29,141114,79275
2025-03,WEEKENDS/HOLIDAY,13,TRAIN,DT29,4015,2983
2025-03,WEEKDAY,6,TRAIN,NS2,48096,17599
2025-03,WEEKENDS/HOLIDAY,15,TRAIN,NE16/STC,26221,27560
2025-03,WEEKDAY,20,TRAIN,NE15,10169,38257
2025-03,WEEKDAY,12,TRAIN,DT2,2915,1117
2025-03,WEEKDAY,7,TRAIN,PE4,5582,1412
2025-03,WEEKDAY,9,TRAIN,EW18,27371,27603
2025-03,WEEKDAY,15,TRAIN,EW19,12345,14537
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,SW5,80,664
2025-03,WEEKENDS/HOLIDAY,12,TRAIN,EW9,17007,12520
2025-03,WEEKDAY,11,TRAIN,EW18,15562,11548
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,TE8,175,322
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,PW4,1182,215
2025-03,WEEKENDS/HOLIDAY,13,TRAIN,TE26,9693,9003
2025-03,WEEKENDS/HOLIDAY,9,TRAIN,NS18,11252,4452
2025-03,WEEKENDS/HOLIDAY,21,TRAIN,NS14,10119,20916
2025-03,WEEKENDS/HOLIDAY,16,TRAIN,PW1,1990,2183
2025-03,WEEKENDS/HOLIDAY,11,TRAIN,CC4/DT15,4048,15233
2025-03,WEEKDAY,8,TRAIN,CC4/DT15,3947,74346
2025-03,WEEKDAY,23,TRAIN,PW5,152,2335
2025-03,WEEKENDS/HOLIDAY,10,TRAIN,SW5,5052,3593
2025-03,WEEKENDS/HOLIDAY,9,TRAIN,CE1/DT16,4337,18923
2025-03,WEEKDAY,6,TRAIN,DT18,774,9125
2025-03,WEEKENDS/HOLIDAY,22,TRAIN,PW5,462,2976
2025-03,WEEKDAY,6,TRAIN,TE7,6727,3393
2025-03,WEEKDAY,19,TRAIN,BP6/DT1,46435,98572
2025-03,WEEKENDS/HOLIDAY,10,TRAIN,NS28,993,3900
2025-03,WEEKDAY,19,TRAIN,EW28,25395,53198
2025-03,WEEKDAY,17,TRAIN,SW3,2561,3836
2025-03,WEEKENDS/HOLIDAY,13,TRAIN,TE5,2730,2440
2025-03,WEEKDAY,12,TRAIN,NE8,22765,30745
2025-03,WEEKDAY,23,TRAIN,CE1/DT16,39695,5567
2025-03,WEEKDAY,20,TRAIN,CC4/DT15,32516,7200
2025-03,WEEKDAY,12,TRAIN,SE1,4520,2806
2025-03,WEEKENDS/HOLIDAY,20,TRAIN,BP10,909,1984
2025-03,WEEKENDS/HOLIDAY,5,TRAIN,DT3,223,9
2025-03,WEEKDAY,10,TRAIN,SW4,3146,1201
